year,ppg,rpg,apg,stl,blk,to
1,20.9,5.5,5.9,1.6,0.7,3.5
2,27.2,7.4,7.2,2.2,0.7,3.3
3,31.4,7.0,6.6,1.6,0.8,3.3
4,27.3,6.7,6.0,1.6,0.7,3.2
5,30.0,7.9,7.2,1.8,1.1,3.4
6,28.4,7.6,7.2,1.7,1.1,3.0
7,29.7,7.3,8.6,1.6,1.0,3.4
8,26.7,7.5,7.0,1.6,0.6,3.6
9,27.1,7.9,6.2,1.9,0.8,3.4
10,26.8,8.0,7.3,1.7,0.9,3.0
11,27.1,6.9,6.3,1.6,0.3,3.5
12,25.3,6.0,7.4,1.6,0.7,3.9
13,25.3,7.4,6.8,1.4,0.6,3.3
14,26.4,8.6,8.7,1.2,0.6,4.1
15,27.5,8.6,9.1,1.4,0.9,4.2
16,27.4,8.5,8.3,1.3,0.6,3.6
17,25.7,7.9,10.6,1.2,0.5,4.0
career,27.1,7.4,7.4,1.6,0.8,3.5